Date,Cases (COVID Tracker),Cases (NYT),Cases (USAFacts),Cases (JHU),Cases (average),Deaths (COVID Tracker),Deaths (NYT),Deaths (USAFacts),Deaths (JHU),Deaths (average),Death rate (average),New cases (COVID Tracker),New cases (NYT),New cases (USAFacts),New cases (JHU),New cases (average),New deaths (COVID Tracker),New deaths (NYT),New deaths (USAFacts),New deaths (JHU),New deaths (average),New tests/day (COVID Tracker),Log(cases) (average),Log(deaths) (average),New cases peak,New deaths peak
1/21/2020,N/A,1,N/A,N/A,1,N/A,0,N/A,,0,0.00%,,,,,,,,,,,,0.00,,,
1/22/2020,1,1,1,1,1,N/A,0,0,0,0,0.00%,,0,,,0,,0,,0,0,,0.00,,,
1/23/2020,1,1,1,1,1,N/A,0,0,0,0,0.00%,0,0,0,0,0,,0,0,0,0,0,0.00,,,
1/24/2020,1,2,2,2,2,N/A,0,0,0,0,0.00%,0,1,1,1,1,,0,0,0,0,0,0.24,,,
1/25/2020,1,3,2,2,2,N/A,0,0,0,0,0.00%,0,1,0,0,0,,0,0,0,0,0,0.30,,,
1/26/2020,1,5,5,5,4,N/A,0,0,0,0,0.00%,0,2,3,3,2,,0,0,0,0,0,0.60,,,
1/27/2020,1,5,6,5,4,N/A,0,0,0,0,0.00%,0,0,1,0,0,,0,0,0,0,0,0.63,,,
1/28/2020,1,5,6,5,4,N/A,0,0,0,0,0.00%,0,0,0,0,0,,0,0,0,0,0,0.63,,,
1/29/2020,1,5,7,5,5,N/A,0,0,0,0,0.00%,0,0,1,0,0,,0,0,0,0,0,0.65,,,
1/30/2020,1,6,7,5,5,N/A,0,0,0,0,0.00%,0,1,0,0,0,,0,0,0,0,0,0.68,,,
1/31/2020,1,7,8,7,6,N/A,0,0,0,0,0.00%,0,1,1,2,1,,0,0,0,0,0,0.76,,,
2/1/2020,1,8,9,8,7,N/A,0,0,0,0,0.00%,0,1,1,1,1,,0,0,0,0,0,0.81,,,
2/2/2020,1,11,9,8,7,N/A,0,0,0,0,0.00%,0,3,0,0,1,,0,0,0,0,0,0.86,,,
2/3/2020,1,11,11,11,9,N/A,0,0,0,0,0.00%,0,0,2,3,1,,0,0,0,0,0,0.93,,,
2/4/2020,1,11,11,11,9,N/A,0,0,0,0,0.00%,0,0,0,0,0,,0,0,0,0,0,0.93,,,
2/5/2020,1,12,11,11,9,N/A,0,0,0,0,0.00%,0,1,0,0,0,,0,0,0,0,0,0.94,,,
2/6/2020,1,12,11,11,9,N/A,0,1,0,0,3.81%,0,0,0,0,0,,0,1,0,0,0,0.94,-0.48,,
2/7/2020,2,12,11,11,9,N/A,0,1,0,0,3.70%,1,0,0,0,0,,0,0,0,0,1,0.95,-0.48,,
2/8/2020,2,12,11,11,9,N/A,0,1,0,0,3.70%,0,0,0,0,0,,0,0,0,0,0,0.95,-0.48,,
2/9/2020,2,12,11,11,9,N/A,0,1,0,0,3.70%,0,0,0,0,0,,0,0,0,0,0,0.95,-0.48,,
2/10/2020,2,13,11,11,9,N/A,0,1,0,0,3.60%,0,1,0,0,0,,0,0,0,0,0,0.97,-0.48,,
2/11/2020,2,13,12,12,10,N/A,0,1,0,0,3.42%,0,0,1,1,1,,0,0,0,0,0,0.99,-0.48,,
2/12/2020,2,14,12,12,10,N/A,0,1,0,0,3.33%,0,1,0,0,0,,0,0,0,0,0,1.00,-0.48,,
2/13/2020,2,15,13,13,11,N/A,0,1,0,0,3.10%,0,1,1,1,1,,0,0,0,0,0,1.03,-0.48,,
2/14/2020,2,15,13,13,11,N/A,0,1,0,0,3.10%,0,0,0,0,0,,0,0,0,0,0,1.03,-0.48,,
2/15/2020,2,15,13,13,11,N/A,0,1,0,0,3.10%,0,0,0,0,0,,0,0,0,0,0,1.03,-0.48,,
2/16/2020,2,15,13,13,11,N/A,0,1,0,0,3.10%,0,0,0,0,0,,0,0,0,0,0,1.03,-0.48,,
2/17/2020,2,25,13,13,13,N/A,0,2,0,1,5.03%,0,10,0,0,3,,0,1,0,0,0,1.12,-0.18,,
2/18/2020,2,25,14,13,14,N/A,0,2,0,1,4.94%,0,0,1,0,0,,0,0,0,0,0,1.13,-0.18,,
2/19/2020,2,25,14,13,14,N/A,0,2,0,1,4.94%,0,0,0,0,0,,0,0,0,0,0,1.13,-0.18,,
2/20/2020,2,27,14,13,14,N/A,0,2,0,1,4.76%,0,2,0,0,1,,0,0,0,0,0,1.15,-0.18,,
2/21/2020,2,30,17,15,16,N/A,0,2,0,1,4.17%,0,3,3,2,2,,0,0,0,0,0,1.20,-0.18,,
2/22/2020,2,30,17,15,16,N/A,0,2,0,1,4.17%,0,0,0,0,0,,0,0,0,0,0,1.20,-0.18,,
